digit2,desc2,digit3,desc3,digit4,desc
63,Insurance Carriers,637,"Pension, Health, and Welfare Funds",2426,Hardwood Dimension And Flooring
63,Insurance Carriers,639,"Insurance Carriers, Not Elsewhere Classified",2429,"    Special Product Sawmills, nec"
65,Real Estate,651,Real Estate Operators (except Developersand Lessors,2430,"    Millwork, Plywood & Structural Members"
65,Real Estate,653,Real Estate Agents and Managers,2431,Millwork
65,Real Estate,654,Title Abstract Offices,2434,    Wood Kitchen Cabinets
65,Real Estate,655,Land Subdividers and Developers,2435,    Hardwood Veneer And Plywood
67,Holding and other Investment Offices,671,Holding Offices,2436,    Softwood Veneer And Plywood
67,Holding and other Investment Offices,672,Investment Offices,2439,"    Structural Wood Members, nec"
67,Holding and other Investment Offices,673,Trusts,2440,    Wood Containers
67,Holding and other Investment Offices,679,Miscellaneous Investing,2441,    Nailed Wood Boxes And Shook
70,"Hotels, Rooming Houses, Camps, and other Lodg",701,Hotels and Motels,2448,    Wood Pallets And Skids
70,"Hotels, Rooming Houses, Camps, and other Lodg",702,Rooming and Boarding Houses,2449,"    Wood Containers, nec"
70,"Hotels, Rooming Houses, Camps, and other Lodg",703,Camps and Recreational Vehicle Parks,2450,    Wood Buildings And Mobile Homes
70,"Hotels, Rooming Houses, Camps, and other Lodg",704,Organization Hotels and Lodging Houseson Membership Basis,2451,    Mobile Homes
72,Personal Services,721,"Laundry, Cleaning, and Garment Services",2452,    Prefabricated Wood Buildings
72,Personal Services,722,"Photographic Studios, Portrait",2490,    Miscellaneous Wood Products
72,Personal Services,723,Beauty Shops,2491,    Wood Preserving
72,Personal Services,724,Barber Shops,2492,Particleboard
72,Personal Services,725,Shoe Repair Shops and Shoeshine Parlors,2499,"    Wood Products, nec"
72,Personal Services,726,Funeral Service and Crematories,2500,    Furniture And Fixtures
72,Personal Services,729,Miscellaneous Personal Services,2510,    Household Furniture
73,Business Services,731,Advertising,2511,    Wood Household Furniture
73,Business Services,732,Consumer Credit Reporting Agencies Mercantile,2512,    Upholstered Household Furniture
73,Business Services,733,"Mailing, Reproduction, Commercial Art and Photography, and Stenographic Services",2514,    Metal Household Furniture
73,Business Services,734,Services to Dwellings and other Buildings,2515,    Mattresses And Bedsprings
73,Business Services,735,Miscellaneous Equipment Rental andLeasing,2517,Wood TV and Radio Cabinets
73,Business Services,736,Personnel Supply Services,2519,"    Household Furniture, nec"
